reference_group_id,document_id,role
RG-entry_year=2005,WARG0448,member
RG-entry_year=2005,WARG0449,member
RG-entry_year=2005,WARG0450,member
RG-entry_year=2005,WARG0451,member
RG-entry_year=2005,WARG0452,member
RG-entry_year=2005,WARG0453,member
RG-entry_year=2005,WARG0454,member
RG-entry_year=2005,WARG0455,member
RG-entry_year=2005,WARG0459,member
RG-entry_year=2005,WARG0509,member
RG-entry_year=2005,WARG0510,member
RG-entry_year=2005,WARG0531,member
RG-entry_year=2005,WARG0532,member
RG-entry_year=2005,WARG0533,member
RG-entry_year=2005,WARG0534,member
RG-entry_year=2005,WARG0535,member
RG-entry_year=2005,WARG0542,member
RG-entry_year=2005,WARG0543,member
RG-entry_year=2005,WARG0544,member
RG-entry_year=2005,WARG0545,member
RG-entry_year=2005,WARG0546,member
RG-entry_year=2005,WARG0547,member
RG-entry_year=2005,WARG0548,member
RG-entry_year=2005,WARG0562,member
RG-entry_year=2005,WARG0563,member
RG-entry_year=2005,WARG0564,member
RG-entry_year=2005,WARG0565,member
RG-entry_year=2005,WARG0566,member
RG-entry_year=2005,WARG0567,member
RG-entry_year=2005,WARG0568,member
RG-entry_year=2005,WARG0578,member
RG-entry_year=2005,WARG0579,member
RG-entry_year=2005,WARG0589,member
RG-entry_year=2005,WARG0590,member
RG-entry_year=2005,WARG0615,member
RG-entry_year=2005,WARG0616,member
RG-entry_year=2005,WARG0617,member
RG-entry_year=2005,WARG0628,member
RG-entry_year=2005,WARG0629,member
RG-entry_year=2005,WARG0630,member
RG-entry_year=2005,WARG0631,member
RG-entry_year=2005,WARG0632,member
RG-entry_year=2005,WARG0633,member
RG-entry_year=2005,WARG0634,member
RG-entry_year=2005,WARG0635,member
RG-entry_year=2005,WARG0636,member
RG-entry_year=2005,WARG0637,member
RG-entry_year=2005,WARG0638,member
RG-entry_year=2005,WARG0639,member
RG-entry_year=2005,WARG0640,member
RG-entry_year=2005,WARG0641,member
RG-entry_year=2005,WARG0642,member
RG-entry_year=2005,WARG0643,member
RG-entry_year=2005,WARG0644,member
RG-entry_year=2005,WARG0645,member
RG-entry_year=2005,WARG0646,member
RG-entry_year=2005,WARG0647,member
RG-entry_year=2005,WARG0648,member
RG-entry_year=2005,WARG0649,member
RG-entry_year=2005,WARG0650,member
RG-entry_year=2005,WARG0651,member
RG-entry_year=2005,WARG0653,member
RG-entry_year=2005,WARG0667,member
RG-entry_year=2005,WARG0668,member
RG-entry_year=2005,WARG0669,member
RG-entry_year=2005,WARG0670,member
RG-entry_year=2005,WARG0671,member
RG-entry_year=2005,WARG0682,member
RG-entry_year=2005,WARG0683,member
RG-entry_year=2005,WARG0684,member
RG-entry_year=2005,WARG0685,member
RG-entry_year=2005,WARG0686,member
RG-entry_year=2005,WARG0687,member
RG-entry_year=2005,WARG0699,member
RG-entry_year=2005,WARG0700,member
RG-entry_year=2005,WARG0701,member
RG-entry_year=2005,WARG0702,member
RG-entry_year=2005,WARG0703,member
RG-entry_year=2005,WARG0704,member
RG-entry_year=2005,WARG0712,member
RG-entry_year=2005,WARG0713,member
RG-entry_year=2005,WARG0714,member
RG-entry_year=2005,WARG0715,member
RG-entry_year=2005,WARG0716,member
RG-entry_year=2005,WARG0726,member
RG-entry_year=2005,WARG0727,member
RG-entry_year=2005,WARG0728,member
RG-entry_year=2005,WARG0755,member
RG-entry_year=2005,WARG0756,member
RG-entry_year=2005,WARG0757,member
RG-entry_year=2005,WARG0758,member
RG-entry_year=2005,WARG0759,member
RG-entry_year=2005,WARG0760,member
RG-entry_year=2005,WARG0761,member
RG-entry_year=2005,WARG0762,member
RG-entry_year=2005,WARG0763,member
RG-entry_year=2005,WARG0764,member
RG-entry_year=2005,WARG0765,member
RG-entry_year=2005,WARG0767,member
RG-entry_year=2005,WARG0768,member
RG-entry_year=2005,WARG0769,member
RG-entry_year=2005,WARG0770,member
RG-entry_year=2005,WARG0771,member
RG-entry_year=2005,WARG0772,member
RG-entry_year=2005,WARG0773,member
RG-entry_year=2005,WARG0774,member
RG-entry_year=2005,WARG0775,member
RG-entry_year=2005,WARG0776,member
RG-entry_year=2005,WARG0777,member
RG-entry_year=2005,WARG0778,member
RG-entry_year=2005,WARG0779,member
RG-entry_year=2005,WARG0780,member
RG-entry_year=2005,WARG0781,member
RG-entry_year=2005,WARG0782,member
RG-entry_year=2005,WARG0783,member
RG-entry_year=2005,WARG0784,member
RG-entry_year=2005,WARG0785,member
RG-entry_year=2005,WARG0786,member
RG-entry_year=2005,WARG0787,member
RG-entry_year=2005,WARG0788,member
RG-entry_year=2005,WARG0789,member
RG-entry_year=2005,WARG0790,member
RG-entry_year=2005,WARG0791,member
RG-entry_year=2005,WARG0792,member
RG-entry_year=2005,WARG0793,member
RG-entry_year=2005,WARG0794,member
RG-entry_year=2005,WARG0795,member
RG-entry_year=2005,WARG0796,member
RG-entry_year=2005,WARG0835,member
RG-entry_year=2005,WARG0836,member
RG-entry_year=2005,WARG0837,member
RG-entry_year=2005,WARG0838,member
RG-entry_year=2005,WARG0839,member
RG-entry_year=2005,WARG0840,member
RG-entry_year=2005,WARG0841,member
RG-entry_year=2005,WARG0842,member
RG-entry_year=2005,WARG0843,member
RG-entry_year=2005,WARG0844,member
RG-entry_year=2005,WARG0845,member
