document_id,source_relative_path,derived_relative_path,source_sha256,corpus,domain,genre,genre_from_filename,prompt_id,major_type,entry_year,grade,timed_status,header_raw,metadata_status,metadata_source,raw_usable,lemma_usable,tagged_usable
WARG3762,WECCL20/RAW/WARG3762.txt,WECCL20/RAW/WARG3762.txt,a5a35da0c75aad881d996d764c49787177c880c04793076b1cbd20026597a8c4,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3763,WECCL20/RAW/WARG3763.txt,WECCL20/RAW/WARG3763.txt,d619e16f152e1a5a45c441cfebaa6a9d81e5e9b30a01035fe3b709cff9ac666e,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3764,WECCL20/RAW/WARG3764.txt,WECCL20/RAW/WARG3764.txt,1b79614b1c4a2d054b85f019474f758e8d6f59e946f7916f0ef23a4a69149ca5,weccl_2_0,l2_writing,argumentative,argumentative,ARG14,english_major,2007,1,untimed,<STU1><ARG14><YEAR07><GRADE1><UNTIMED>,parsed,raw,yes,yes,yes
WARG3765,WECCL20/RAW/WARG3765.txt,WECCL20/RAW/WARG3765.txt,04c397afbc9180dae4776d6edd851b8cb1e872a4bfb04ae325f56255d61ca205,weccl_2_0,l2_writing,argumentative,argumentative,ARG21,english_major,2007,1,untimed,<STU1><ARG21><YEAR07><GRADE1><UNTIMED>,parsed,raw,yes,yes,yes
WARG3766,WECCL20/RAW/WARG3766.txt,WECCL20/RAW/WARG3766.txt,9c74e9827f91217d2c4ab62370439348237926e374c015bb681efd5ba4b84ef2,weccl_2_0,l2_writing,argumentative,argumentative,ARG08,english_major,2007,1,untimed,<STU1><ARG08><YEAR07><GRADE1><UNTIMED>,parsed,raw,yes,yes,yes
WARG3767,WECCL20/RAW/WARG3767.txt,WECCL20/RAW/WARG3767.txt,ddbf7eddd02ba4a0a96ab09d757377c48377ea7da79189d95da290902ef81b00,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2007,1,timed,<STU2><ARG02><YEAR07><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3768,WECCL20/RAW/WARG3768.txt,WECCL20/RAW/WARG3768.txt,4020cb8d50fb1fd9106c7e650e3c4a665e1f68b4678125e06a9a32bc58b6a13f,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2007,1,timed,<STU2><ARG02><YEAR07><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3769,WECCL20/RAW/WARG3769.txt,WECCL20/RAW/WARG3769.txt,71da07f13b51adab91543203e6d508237a54769f0901323177bd94373bc45d7d,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2007,1,timed,<STU2><ARG02><YEAR07><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3770,WECCL20/RAW/WARG3770.txt,WECCL20/RAW/WARG3770.txt,75ecc53b47942f85de4be58a08c78d5bbed46b4882dc96de96531b3b22c43c58,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2007,1,timed,<STU2><ARG02><YEAR07><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3771,WECCL20/RAW/WARG3771.txt,WECCL20/RAW/WARG3771.txt,b9ee24511fdbf3f634abbb5759acfc8713eea4f612aa27849e1a8739ea5fa483,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2007,1,untimed,<STU2><ARG02><YEAR07><GRADE1><UNTIMED>,parsed,raw,yes,yes,yes
WARG3772,WECCL20/RAW/WARG3772.txt,WECCL20/RAW/WARG3772.txt,14a0225459e02f4b16555cd11e22d57be57c94c370c7da034739d2214967a17b,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2007,1,untimed,<STU2><ARG02><YEAR07><GRADE1><UNTIMED>,parsed,raw,yes,yes,yes
WARG3773,WECCL20/RAW/WARG3773.txt,WECCL20/RAW/WARG3773.txt,f627d728e12752f6f3a49f44cb4299d6550489b721e8b4e3bc47df6b02d0a9e5,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2007,1,untimed,<STU2><ARG02><YEAR07><GRADE1><UNTIMED>,parsed,raw,yes,yes,yes
WARG3774,WECCL20/RAW/WARG3774.txt,WECCL20/RAW/WARG3774.txt,60cdbb4ca40e8b2e7587ef216d351a2c8d9b664a6659555a1eff36deface903c,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2007,1,untimed,<STU2><ARG02><YEAR07><GRADE1><UNTIMED>,parsed,raw,yes,yes,yes
WARG3775,WECCL20/RAW/WARG3775.txt,WECCL20/RAW/WARG3775.txt,508ccaf85e65035cf749d082746f32fca20f833b622233bdcb0725e54b097723,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2007,1,untimed,<STU2><ARG02><YEAR07><GRADE1><UNTIMED>,parsed,raw,yes,yes,yes
WARG3776,WECCL20/RAW/WARG3776.txt,WECCL20/RAW/WARG3776.txt,650fe95c13dcf96ddc59b2e20d84e75f76eb6ad2b86b1c1f9dbaf3bb4c873806,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2007,1,untimed,<STU2><ARG02><YEAR07><GRADE1><UNTIMED>,parsed,raw,yes,yes,yes
WARG3777,WECCL20/RAW/WARG3777.txt,WECCL20/RAW/WARG3777.txt,72cbd714babd12f302e58278f839e86809225a294b61033ff6e5c78ee6fed3d8,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2007,1,untimed,<STU2><ARG02><YEAR07><GRADE1><UNTIMED>,parsed,raw,yes,yes,yes
WARG3778,WECCL20/RAW/WARG3778.txt,WECCL20/RAW/WARG3778.txt,e81550d9f04e9f4bfe1a72d7e4cc6e2eec56ed33e3427964c5e7fcf4da4274f4,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2006,2,untimed,<STU2><ARG02><YEAR06><GRADE2><UNTIMED>,parsed,raw,yes,yes,yes
WARG3779,WECCL20/RAW/WARG3779.txt,WECCL20/RAW/WARG3779.txt,64db2dac89cb1caa3024654f469d3e371826b1d7a9602abb4ad60d8ced9f0553,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2006,2,untimed,<STU2><ARG02><YEAR06><GRADE2><UNTIMED>,parsed,raw,yes,yes,yes
WARG3780,WECCL20/RAW/WARG3780.txt,WECCL20/RAW/WARG3780.txt,2cad970e8e9f35c79ff4684f68494a0c0c4a325a7dc0a06e750fcd66432724b2,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2006,2,untimed,<STU2><ARG02><YEAR06><GRADE2><UNTIMED>,parsed,raw,yes,yes,yes
WARG3781,WECCL20/RAW/WARG3781.txt,WECCL20/RAW/WARG3781.txt,3d5e31dcf7def6c11a0c873bd076c9bb47c329525553ff6bec64abf852e5df6b,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2006,2,untimed,<STU2><ARG02><YEAR06><GRADE2><UNTIMED>,parsed,raw,yes,yes,yes
WARG3782,WECCL20/RAW/WARG3782.txt,WECCL20/RAW/WARG3782.txt,f627307aa950df5ae7530a3be39ef14deb57f92585166ddadc7024a51da62b39,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2006,2,untimed,<STU2><ARG02><YEAR06><GRADE2><UNTIMED>,parsed,raw,yes,yes,yes
WARG3783,WECCL20/RAW/WARG3783.txt,WECCL20/RAW/WARG3783.txt,aa2d99c7136e7b47a07f1ec3019d1c28f19e47ab30cd87708a93c0e1730a9343,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2006,2,timed,<STU2><ARG02><YEAR06><GRADE2><TIMED>,parsed,raw,yes,yes,yes
WARG3784,WECCL20/RAW/WARG3784.txt,WECCL20/RAW/WARG3784.txt,88168e61c15ef08af92ddee01b689d18d70dbf677c0ce0dbafa4c21693677720,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,non_english_major,2006,2,timed,<STU2><ARG02><YEAR06><GRADE2><TIMED>,parsed,raw,yes,yes,yes
WARG3785,WECCL20/RAW/WARG3785.txt,WECCL20/RAW/WARG3785.txt,ff718775851f3e368439a5654f5bd318dc30cd05365477ed2d63efa8e1e294d1,weccl_2_0,l2_writing,argumentative,argumentative,ARG01,english_major,2005,3,timed,<STU1><ARG01><YEAR05><GRADE3><TIMED>,parsed,raw,yes,yes,yes
WARG3786,WECCL20/RAW/WARG3786.txt,WECCL20/RAW/WARG3786.txt,4c9f11340581f0605fc1feaaf453905a3b7f6fcce6425374859a04205e8c82ba,weccl_2_0,l2_writing,argumentative,argumentative,ARG01,english_major,2005,3,timed,<STU1><ARG01><YEAR05><GRADE3><TIMED>,parsed,raw,yes,yes,yes
WARG3787,WECCL20/RAW/WARG3787.txt,WECCL20/RAW/WARG3787.txt,0e5dbaa6b9caccd4158d8e7310b3a6ce374bb69b0b9cbc36ec5bc399776afbe0,weccl_2_0,l2_writing,argumentative,argumentative,ARG01,english_major,2006,2,timed,<STU1><ARG01><YEAR06><GRADE2><TIMED>,parsed,raw,yes,yes,yes
WARG3788,WECCL20/RAW/WARG3788.txt,WECCL20/RAW/WARG3788.txt,ed43ee6297ba8a4dbd6640426f2672bf5e10669b6ffa4b75b641b162d7e4e48b,weccl_2_0,l2_writing,argumentative,argumentative,ARG01,english_major,2006,2,timed,<STU1><ARG01><YEAR06><GRADE2><TIMED>,parsed,raw,yes,yes,yes
WARG3789,WECCL20/RAW/WARG3789.txt,WECCL20/RAW/WARG3789.txt,5161d33c9bd8ec6337dbf91347a7a3064c22534334fd291c705882660f2bec25,weccl_2_0,l2_writing,argumentative,argumentative,ARG01,english_major,2006,2,timed,<STU1><ARG01><YEAR06><GRADE2><TIMED>,parsed,raw,yes,yes,yes
